stream,date,species,fork_length,lifestage,weight,count,mort,is_plus_count
mill creek,2021-05-10T00:00:00Z,chinook salmon,84,silvery parr,7,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,83,silvery parr,7,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,72,silvery parr,5,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,81,silvery parr,7,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,79,silvery parr,5,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,95,silvery parr,10,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,85,silvery parr,8,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,81,silvery parr,6,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,87,silvery parr,7,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,80,silvery parr,6,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,chinook salmon,NA,NA,NA,15,NA,TRUE
mill creek,2021-05-10T00:00:00Z,rainbow trout,243,smolt,149,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,rainbow trout,215,smolt,121,1,NA,FALSE
mill creek,2021-05-10T00:00:00Z,RiFScu,56,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,66,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,85,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,66,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,45,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,68,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,78,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,70,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,68,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,75,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,68,parr,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,chinook salmon,NA,NA,NA,42,NA,TRUE
mill creek,2022-04-25T00:00:00Z,HarHe,55,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,53,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,63,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,45,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,53,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,35,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,53,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,52,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,35,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,45,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,50,NA,NA,1,NA,FALSE
mill creek,2022-04-25T00:00:00Z,HarHe,51,NA,NA,1,NA,FALSE
mill creek,2022-04-15T00:00:00Z,chinook salmon,74,parr,NA,1,NA,FALSE
