stream,trap_location,date,time,hours_fished,debris_gal,water_temp,weather_code,staff_gage_ft,flow_cfs,total_revs,before_rpms,after_rpms,comments
mill,upper dam,2022-11-02T00:00:00Z,11:04,NA,5,11,3,116,116,NA,3,2,NA
mill,upper mill,2022-11-03T00:00:00Z,11:45,NA,NA,8.7,NA,101,101,NA,3,3,NA
mill,NA,2022-11-04T00:00:00Z,10:00,NA,NA,7.7,NA,91,91,NA,NA,NA,NA
mill,NA,2022-11-07T00:00:00Z,11:35,NA,10,12,2,150,150,NA,3,5,NA
mill,NA,2022-11-08T00:00:00Z,10:00,NA,4,8,4,159,159,NA,4,4,NA
mill,upper dam,2022-11-09T00:00:00Z,12:15,NA,NA,10,2,190,190,NA,0,NA,trap was stuck on river left gravel bar
mill,upper dam,2022-11-10T00:00:00Z,13:14,NA,0.5,6.9,1,140,140,NA,6,NA,pulled cone/screen for weekend
mill,upper dam,2022-11-14T00:00:00Z,10:41,NA,NA,6.2,NA,105,105,NA,5,NA,NA
mill,upper mill,2022-11-15T00:00:00Z,11:02,NA,NA,7,1,101,101,NA,3,NA,NA
mill,NA,2022-11-16T00:00:00Z,11:30,NA,1,8,1,99,99,NA,4,2,NA
mill,NA,2022-11-17T00:00:00Z,10:00,NA,1,10,1,99,99,NA,2,2,NA
mill,upper dam,2022-11-18T00:00:00Z,10:00,24,0.5,10.8,NA,99,99,NA,3.5,3.5,NA
mill,NA,2022-11-21T00:00:00Z,13:15,NA,18,9,2,96,96,NA,1,NA,NA
mill,upper dam,2022-11-29T00:00:00Z,10:28,NA,1,8.9,NA,NA,NA,NA,3.5,3.5,NA
mill,NA,2022-11-30T00:00:00Z,10:20,NA,5,8,1,96,96,NA,2,NA,scale malfunction
mill,upper dam,2022-12-01T00:00:00Z,9:04,NA,NA,8,4,164,164,NA,4,NA,NA
mill,NA,2022-12-06T00:00:00Z,12:08,NA,2,9,1,232,232,NA,5,NA,NA
mill,NA,2022-12-07T00:00:00Z,13:04,NA,5,9,1,159,159,NA,7,NA,NA
mill,NA,2022-12-08T00:00:00Z,11:10,NA,1,8,3,142,142,NA,3,NA,raised cone
mill,mill rst,2022-12-13T00:00:00Z,1:30,NA,5,7,1,174,174,NA,6,6,NA
mill,NA,2022-12-14T00:00:00Z,3:15,NA,3,6.5,1,148,148,NA,5,4,NA
mill,NA,2022-12-15T00:00:00Z,1:10,NA,1,8,1,136,136,NA,4,4.5,"plus one hardhead mortality (not in count), scale didn't work"
mill,NA,2022-12-16T00:00:00Z,3:14,NA,1,8,1,127,127,NA,3,3.5,NA
mill,NA,2022-12-17T00:00:00Z,NA,NA,1,5.5,1,121,121,NA,3.25,3,NA
mill,upper dam,2022-12-19T00:00:00Z,NA,NA,5,6,3,115,115,NA,NA,NA,NA
mill,NA,2022-12-20T00:00:00Z,12:50,NA,1,7,2,114,114,NA,2.5,2.5,NA
mill,NA,2022-12-21T00:00:00Z,12:23,NA,1.5,9,2,114,114,NA,2.25,2.25,NA
mill,NA,2022-12-23T00:00:00Z,12:30,NA,2,10,3,117,117,NA,5,2.5,NA
mill,NA,2023-01-24T00:00:00Z,11:00,NA,1,9,1,247,247,NA,8,7,mort lamprey - 110. PIT TAG reader malfunction
mill,NA,2022-12-24T00:00:00Z,12:10,NA,1,9.5,1,128,128,NA,2.5,0,lots of foam in trap. Pulled up trap.
mill,NA,2023-01-25T00:00:00Z,11:00,NA,NA,9,1,231,231,NA,8,7,NA
mill,NA,2023-01-26T00:00:00Z,NA,NA,NA,8,1,219,219,NA,7,NA,zero fish in trap
mill,NA,2023-01-27T00:00:00Z,12:35,NA,0,9.5,3,211,211,NA,7,7.25,NA
mill,upper dam,2023-01-30T00:00:00Z,NA,NA,1,7,NA,191,191,NA,8,8,NA
mill,upper dam,2023-01-31T00:00:00Z,12:45,NA,1,6,1,182,182,NA,6.5,NA,scale wasn't reading properly
mill,upper dam,2023-02-01T00:00:00Z,11:30,NA,0,8.5,1,177,177,NA,6.5,6.5,NA
mill,NA,2023-02-03T00:00:00Z,12:30,NA,NA,9,2,174,174,NA,6.75,7,NA
mill,NA,2023-02-04T00:00:00Z,11:00,NA,0,10,2,173,173,NA,7,7,NA
mill,upper dam,2023-02-06T00:00:00Z,12:30,NA,NA,10,1,204,204,NA,6,7,NA
mill,upper dam,2023-02-07T00:00:00Z,NA,NA,0,8,2,188,188,NA,6.5,7,branch in cone - spinning fine
mill,upper dam,2023-02-08T00:00:00Z,10:28,NA,0,9,1,181,181,NA,6,NA,NA
mill,upper dam,2023-02-09T00:00:00Z,11:22,NA,0,9,1,177,177,7,7,7,one mort chisal in usewell
mill,NA,2023-02-10T00:00:00Z,11:45,NA,NA,11,1,178,178,NA,7,6.5,two morts
mill,NA,2023-02-11T00:00:00Z,11:00,NA,1,10,2,183,183,NA,6.25,NA,NA
mill,upper dam,2023-02-13T00:00:00Z,10:47,NA,1,11,1,178,178,NA,7,7,raised cone few inches
mill,upper dam,2023-02-14T00:00:00Z,13:32,NA,0,9,1,179,183,NA,8.5,NA,NA
mill,NA,2023-02-15T00:00:00Z,10:50,NA,1,8,1,176,176,NA,6,NA,NA
mill,upper dam,2023-02-16T00:00:00Z,9:28,NA,0,7,2,167,167,NA,NA,3.5,NA
mill,upper dam,2023-02-17T00:00:00Z,10:00,NA,1,5,1,192,192,NA,6.5,6.5,NA
