date,location,count,fork_length,weight,flow,time_for_10_revolutions,tubs_of_debris,trap_condition_code,water_temperature,turbidity,weather,comments
1995-12-09,Mill Creek RSTR,1,32,NA,NA,NA,NA,normal,50,NA,NA,1995 BY-CHISAL said to weigh 1mg.
1995-12-13,Mill Creek RSTR,2,34,NA,NA,NA,NA,normal,49,NA,NA,"Fished continuously during the storm, water still high and muddy"
1995-12-13,Mill Creek RSTR,1,35,NA,NA,NA,NA,normal,49,NA,NA,"Fished continuously during the storm, water still high and muddy"
1995-12-14,Mill Creek RSTR,1,35,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,3,36,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,8,NA,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,8,36,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,1,38,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,5,37,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,16,35,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,5,33,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,1,31,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1995-12-14,Mill Creek RSTR,17,34,NA,NA,NA,NA,normal,47,NA,rain,"4 fry=1g.  Water up, trubid.  Hatched salmon eggs and some unhatched dead eggs in live box. On 12/15 creek high and turbis, trap flipped upside down and drum tore off.  On 12/17 removed trap and secured to planks over ditch.  Haven't found drum."
1996-02-03,Mill Creek RSTR,2,34,NA,NA,NA,NA,normal,47,NA,NA,Drum spinning freely.  On 2/4 road too flooded to check trap.  On 2/5 checked trap at 11:00.  High water had deposited trap on planks over the canal.  Nothing was inside the live-box.
