release_id,stream,recapture_date,mean_fl_recaptured,min_fl_recaptured,max_fl_recaptured,total_recaptured
mill202101,mill creek,2/9/22,53.51162791,43,60,43
mill202102,mill creek,2/24/22,58.9047619,51,64,22
mill202103,mill creek,3/8/22,62.51535088,53,70,28
mill202201,mill creek,2/14/23,NA,NA,NA,31
mill202202,mill creek,3/4/23,NA,NA,NA,6
mill202203,mill creek,1/31/23,NA,NA,NA,50
mill202204,mill creek,4/3/23,NA,NA,NA,0
mill202205,mill creek,4/11/23,NA,NA,NA,4
mill202206,mill creek,4/24/23,NA,NA,NA,13
mill202207,mill creek,5/2/23,NA,NA,NA,0
deer202201,deer creek,1/24/32,36,NA,NA,8
deer202202,deer creek,2/7/23,NA,NA,NA,6
deer202203,deer creek,2/22/23,47,NA,NA,7
deer202204,deer creek,3/8/23,NA,NA,NA,14
deer202205,deer creek,4/18/23,NA,NA,NA,2
deer202206,deer creek,4/28/23,NA,NA,NA,0
