stream,release_origin,release_date,mean_fl_released,number_released,mark_type,release_id
mill creek,hatchery,2022-02-07,NA,399,bismark brown,mill202101
mill creek,hatchery,2022-02-22,NA,400,bismark brown,mill202102
mill creek,hatchery,2022-03-07,NA,400,bismark brown,mill202103
mill creek,hatchery,2023-02-13,45,300,NA,mill202201
mill creek,hatchery,2023-02-27,NA,300,NA,mill202202
mill creek,hatchery,2023-01-30,NA,300,NA,mill202203
mill creek,hatchery,2023-04-03,NA,300,NA,mill202204
mill creek,hatchery,2023-04-10,NA,300,NA,mill202205
mill creek,hatchery,2023-04-24,NA,300,NA,mill202206
mill creek,hatchery,2023-05-01,NA,298,NA,mill202207
deer creek,hatchery,2023-01-23,36,309,NA,deer202201
deer creek,hatchery,2023-02-06,NA,300,NA,deer202202
deer creek,hatchery,2023-02-21,47,300,NA,deer202203
deer creek,hatchery,2023-03-07,52,300,NA,deer202204
deer creek,hatchery,2023-04-17,70,300,NA,deer202205
deer creek,hatchery,2023-04-27,NA,300,NA,deer202206
