date,stream,trap_condition_code,turbidity,weather,water_temperature,debris_gal,rpm_before,rpm_after
1992-10-14T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1992-10-17T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1992-10-30T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1992-11-04T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1992-11-04T00:00:00Z,deer creek,normal,NA,NA,13.333333333333334,NA,NA,NA
1992-11-05T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1992-11-05T00:00:00Z,deer creek,normal,NA,NA,12.222222222222223,NA,NA,NA
1992-11-09T00:00:00Z,deer creek,normal,NA,NA,8.88888888888889,NA,NA,NA
1992-11-13T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1992-11-16T00:00:00Z,deer creek,normal,NA,NA,8.88888888888889,NA,NA,NA
1992-11-17T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1992-11-29T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1992-12-05T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1994-10-03T00:00:00Z,deer creek,normal,NA,NA,16.11111111111111,NA,NA,NA
1994-10-06T00:00:00Z,deer creek,normal,NA,NA,14.166666666666668,NA,NA,NA
1994-10-07T00:00:00Z,deer creek,normal,NA,NA,13.333333333333334,NA,NA,NA
1994-10-08T00:00:00Z,deer creek,normal,NA,NA,13.88888888888889,NA,NA,NA
1994-10-09T00:00:00Z,deer creek,normal,NA,NA,13.88888888888889,NA,NA,NA
1994-10-10T00:00:00Z,deer creek,normal,NA,NA,14.444444444444445,NA,NA,NA
1994-10-11T00:00:00Z,deer creek,normal,NA,NA,13.88888888888889,NA,NA,NA
1994-10-13T00:00:00Z,deer creek,normal,NA,NA,13.333333333333334,NA,NA,NA
1994-10-15T00:00:00Z,deer creek,normal,NA,NA,13.88888888888889,NA,NA,NA
1994-10-16T00:00:00Z,deer creek,normal,NA,NA,13.88888888888889,NA,NA,NA
1994-10-18T00:00:00Z,deer creek,normal,NA,NA,10.555555555555555,NA,NA,NA
1994-10-22T00:00:00Z,deer creek,normal,NA,NA,10.555555555555555,NA,NA,NA
1994-10-28T00:00:00Z,deer creek,normal,NA,NA,12.77777777777778,NA,NA,NA
1994-10-31T00:00:00Z,deer creek,normal,NA,NA,10,NA,NA,NA
1994-11-02T00:00:00Z,deer creek,normal,NA,NA,8.88888888888889,NA,NA,NA
1994-11-03T00:00:00Z,deer creek,normal,NA,NA,9.444444444444445,NA,NA,NA
1994-11-04T00:00:00Z,deer creek,normal,NA,NA,7.222222222222222,NA,NA,NA
1994-11-05T00:00:00Z,deer creek,normal,NA,rainy,7.777777777777779,NA,NA,NA
1994-11-06T00:00:00Z,deer creek,normal,NA,rainy,8.055555555555555,NA,NA,NA
1994-11-07T00:00:00Z,deer creek,normal,NA,NA,8.333333333333334,NA,NA,NA
1994-11-08T00:00:00Z,deer creek,normal,NA,NA,7.777777777777779,NA,NA,NA
1994-11-09T00:00:00Z,deer creek,normal,NA,NA,8.333333333333334,NA,NA,NA
1994-11-10T00:00:00Z,deer creek,normal,NA,rainy,8.333333333333334,NA,NA,NA
1994-11-11T00:00:00Z,deer creek,normal,NA,NA,7.222222222222222,NA,NA,NA
1994-11-12T00:00:00Z,deer creek,normal,NA,NA,7.222222222222222,NA,NA,NA
1994-11-13T00:00:00Z,deer creek,normal,NA,NA,6.111111111111112,NA,NA,NA
1994-11-14T00:00:00Z,deer creek,normal,NA,NA,5.555555555555555,NA,NA,NA
1994-11-15T00:00:00Z,deer creek,normal,NA,rainy,5.555555555555555,NA,NA,NA
1994-11-16T00:00:00Z,deer creek,normal,NA,NA,6.111111111111112,NA,NA,NA
1994-11-17T00:00:00Z,deer creek,normal,NA,NA,6.666666666666667,NA,NA,NA
1994-11-18T00:00:00Z,deer creek,normal,NA,NA,5.555555555555555,NA,NA,NA
1994-11-19T00:00:00Z,deer creek,normal,NA,NA,3.8888888888888897,NA,NA,NA
1994-11-20T00:00:00Z,deer creek,normal,NA,NA,5,NA,NA,NA
1994-11-22T00:00:00Z,deer creek,normal,NA,NA,4.444444444444445,NA,NA,NA
1994-11-23T00:00:00Z,deer creek,normal,NA,NA,4.444444444444445,NA,NA,NA
1994-11-24T00:00:00Z,deer creek,normal,NA,NA,5,NA,NA,NA
1994-11-26T00:00:00Z,deer creek,normal,NA,NA,5.555555555555555,NA,NA,NA
1994-11-27T00:00:00Z,deer creek,normal,NA,rainy,5,NA,NA,NA
1994-11-28T00:00:00Z,deer creek,normal,NA,NA,5,NA,NA,NA
1994-11-29T00:00:00Z,deer creek,normal,NA,NA,4.444444444444445,NA,NA,NA
1994-12-01T00:00:00Z,deer creek,normal,NA,NA,5.555555555555555,NA,NA,NA
1994-12-03T00:00:00Z,deer creek,normal,NA,rainy,7.222222222222222,NA,NA,NA
1994-12-05T00:00:00Z,deer creek,normal,NA,NA,7.777777777777779,NA,NA,NA
1994-12-07T00:00:00Z,deer creek,normal,NA,NA,6.111111111111112,NA,NA,NA
1994-12-08T00:00:00Z,deer creek,normal,NA,NA,4.444444444444445,NA,NA,NA
1994-12-09T00:00:00Z,deer creek,normal,NA,NA,3.8888888888888897,NA,NA,NA
1994-12-10T00:00:00Z,deer creek,normal,NA,cloudy,2.7777777777777777,NA,NA,NA
1994-12-12T00:00:00Z,deer creek,normal,NA,rainy,5,NA,NA,NA
1994-12-13T00:00:00Z,deer creek,normal,NA,rainy,6.111111111111112,NA,NA,NA
1994-12-14T00:00:00Z,deer creek,normal,NA,rainy,6.111111111111112,NA,NA,NA
1994-12-15T00:00:00Z,deer creek,normal,NA,NA,6.666666666666667,NA,NA,NA
1994-12-16T00:00:00Z,deer creek,normal,NA,NA,7.222222222222222,NA,NA,NA
1994-12-17T00:00:00Z,deer creek,normal,NA,NA,7.777777777777779,NA,NA,NA
1994-12-19T00:00:00Z,deer creek,normal,NA,NA,6.666666666666667,NA,NA,NA
1994-12-20T00:00:00Z,deer creek,normal,NA,fog,6.666666666666667,NA,NA,NA
1994-12-21T00:00:00Z,deer creek,normal,NA,fog,5.555555555555555,NA,NA,NA
1994-12-22T00:00:00Z,deer creek,normal,NA,fog,5,NA,NA,NA
1994-12-23T00:00:00Z,deer creek,normal,NA,NA,5,NA,NA,NA
1994-12-24T00:00:00Z,deer creek,normal,NA,rainy,5,NA,NA,NA
1994-12-25T00:00:00Z,deer creek,normal,NA,NA,5,NA,NA,NA
1994-12-26T00:00:00Z,deer creek,normal,NA,NA,5.555555555555555,NA,NA,NA
1994-12-27T00:00:00Z,deer creek,normal,NA,NA,5.555555555555555,NA,NA,NA
1994-12-28T00:00:00Z,deer creek,normal,NA,rainy,6.666666666666667,NA,NA,NA
1994-12-29T00:00:00Z,deer creek,normal,NA,NA,5,NA,NA,NA
1994-12-30T00:00:00Z,deer creek,normal,NA,NA,4.444444444444445,NA,NA,NA
1995-01-01T00:00:00Z,deer creek,normal,NA,NA,5.555555555555555,NA,NA,NA
1995-01-04T00:00:00Z,deer creek,normal,NA,rainy,7.222222222222222,NA,NA,NA
1995-01-05T00:00:00Z,deer creek,normal,NA,rainy,6.944444444444445,NA,NA,NA
1995-01-06T00:00:00Z,deer creek,normal,NA,rainy,7.5,NA,NA,NA
1995-02-18T00:00:00Z,deer creek,normal,NA,NA,NA,NA,NA,NA
1995-02-21T00:00:00Z,deer creek,normal,NA,NA,8.333333333333334,NA,NA,NA
1995-02-22T00:00:00Z,deer creek,normal,NA,NA,8.333333333333334,NA,NA,NA
1995-02-23T00:00:00Z,deer creek,normal,NA,fog,8.88888888888889,NA,NA,NA
1995-02-24T00:00:00Z,deer creek,normal,NA,NA,8.88888888888889,NA,NA,NA
1995-02-26T00:00:00Z,deer creek,normal,NA,fog,8.88888888888889,NA,NA,NA
